Sample_name	Cell_line
ENCFF655VOO	GM12864
ENCFF657QNR	Neurosphere embryo 
ENCFF657UUA	Myotube
ENCFF659PCD	Skeletal muscle myoblast
ENCFF663TJR	IPS DF 6.9
ENCFF665YYQ	GM06990
ENCFF666IXO	MCF-7
ENCFF668BLZ	Common myeloid progenitor, CD34-positive
ENCFF668DID	Neuron
ENCFF672KST	IPS-18c
ENCFF675LAN	Foreskin keratinocyte
ENCFF675PAV	A549 treated with 100 nM dexamethasone for 1 hour
ENCFF677JUC	PC-9
ENCFF677UWW	Cingulate gyrus
ENCFF680ACQ	Skeletal muscle satellite cell
ENCFF680GXW	CD8-positive, alpha-beta memory T cell
ENCFF681UMO	Foreskin melanocyte
ENCFF682XDY	Cardiac muscle cell
ENCFF684VLD	Natural killer cell
ENCFF685ITQ	Natural killer cell
ENCFF688HCU	MM.1S
ENCFF692NCP	HepG2
ENCFF695UOR	Foreskin melanocyte
ENCFF695ZCD	H1
ENCFF698RHA	K562
ENCFF700SOH	Jurkat clone E61
ENCFF708IKN	Thyroid gland
ENCFF712CFO	Mesendoderm
ENCFF712MSN	Adrenal gland
ENCFF713IHA	Neurosphere embryo 
ENCFF714QVX	Body of pancreas
ENCFF714ZOO	CD8-positive, alpha-beta T cell
ENCFF726ELZ	Hepatocyte
ENCFF733GLZ	Keratinocyte
ENCFF736XSR	WERI-Rb-1
ENCFF743TLC	WI38
ENCFF744HBO	IPS-20b
ENCFF744RLR	Cardiovascular progenitor cell
ENCFF744UMD	NCI-H929
ENCFF748NGW	Keratinocyte
ENCFF749VRD	IPS DF 6.9
ENCFF750SIX	HCT116
ENCFF750SNG	Neuroepithelial stem cell
ENCFF753BAK	HepG2
ENCFF753ZNY	Fibroblast of mammary gland
ENCFF757WPX	K562
ENCFF758NBC	SK-N-MC
ENCFF759CFC	B cell
ENCFF759SPZ	NT2/D1
ENCFF761FDC	NB4
ENCFF762UCO	Neurosphere
ENCFF775BWF	Temporal lobe
ENCFF779DOV	BJ
ENCFF786APV	LNCaP clone FGC
ENCFF790YTQ	A549 treated with 0.02% ethanol for 1 hour
ENCFF792MMD	CD4-positive, CD25-positive, alpha-beta regulatory T cell
ENCFF794IGN	T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin
ENCFF794TPT	Pancreas
ENCFF797ZMR	Keratinocyte
ENCFF800FGM	Mammary epithelial cell
ENCFF800PYK	Neuron
ENCFF801WND	K562
ENCFF802QWI	B cell
ENCFF805BQN	Sigmoid colon
ENCFF807TUA	Neural cell
ENCFF809TQT	Neural stem progenitor cell
ENCFF810DXC	CD14-positive monocyte
ENCFF811HDG	Spleen
ENCFF815MUT	BE2C
ENCFF816UNH	Small intestine
ENCFF822UCR	Bronchial epithelial cell
ENCFF823KVB	Transverse colon
ENCFF831EQD	Neural stem progenitor cell
ENCFF832HHG	Keratinocyte
ENCFF832HOR	Transverse colon
ENCFF839BGZ	Cardiac myoblast
ENCFF842OUN	Thyroid gland
ENCFF846OYE	Mesodermal cell
ENCFF849NMW	Cerebellum
ENCFF852UPO	Chorionic villus
ENCFF855KWS	SK-N-SH
ENCFF877PDN	Neural cell
ENCFF882SHP	Common myeloid progenitor, CD34-positive
ENCFF883WUZ	Smooth muscle cell
ENCFF886NBV	Neural stem progenitor cell
ENCFF888CYI	Temporal lobe
ENCFF888EHG	CD8-positive, alpha-beta T cell
ENCFF888XYF	Panc1
ENCFF893SAP	H1
ENCFF896RSZ	Pancreas
ENCFF898UON	Liver
ENCFF903XHM	Foreskin keratinocyte
ENCFF907SFS	Neurosphere
ENCFF910XJF	H1
ENCFF917GWU	AG09309
