Sample_ID	Sample_illustration
HSC3_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
HSC4_UPPER_AERODIGESTIVE_TRACT	Upper_aerodigestive_tract carcinoma
HT1080_SOFT_TISSUE	Soft_tissue
HT115_LARGE_INTESTINE	Large_intestine carcinoma
HT1197_URINARY_TRACT	Urinary_tract carcinoma
HT1376_URINARY_TRACT	Urinary_tract carcinoma
HT144_SKIN	Skin malignant_melanoma
HT29_LARGE_INTESTINE	Large_intestine carcinoma
HT55_LARGE_INTESTINE	Large_intestine carcinoma
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HUCCT1_BILIARY_TRACT	Biliary_tract carcinoma
HUG1N_STOMACH	Stomach carcinoma
HUH1_LIVER	Liver carcinoma
HUH28_BILIARY_TRACT	Biliary_tract carcinoma
HUH6_LIVER	Liver other
HUH7_LIVER	Liver carcinoma
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HUPT3_PANCREAS	Pancreas carcinoma
HUPT4_PANCREAS	Pancreas carcinoma
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
HUTU80_SMALL_INTESTINE	Small_intestine carcinoma
IALM_LUNG	Lung carcinoma
IGR1_SKIN	Skin malignant_melanoma
IGR37_SKIN	Skin malignant_melanoma
IGR39_SKIN	Skin malignant_melanoma
IGROV1_OVARY	Ovary carcinoma
IM95_STOMACH	Stomach carcinoma
IMR32_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA NA
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system meningioma
IPC298_SKIN	Skin malignant_melanoma
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Endometrium carcinoma
ISTMES1_PLEURA	Pleura mesothelioma
ISTMES2_PLEURA	Pleura mesothelioma
J82_URINARY_TRACT	Urinary_tract carcinoma
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JHESOAD1_OESOPHAGUS	Oesophagus carcinoma
JHH1_LIVER	Liver carcinoma
JHH2_LIVER	Liver carcinoma
JHH4_LIVER	Liver carcinoma
JHH5_LIVER	Liver carcinoma
JHH6_LIVER	Liver carcinoma
JHH7_LIVER	Liver carcinoma
JHOC5_OVARY	Ovary carcinoma
JHOM1_OVARY	Ovary carcinoma
JHOM2B_OVARY	Ovary carcinoma
JHOS2_OVARY	Ovary carcinoma
JHOS4_OVARY	Ovary carcinoma
JHUEM1_ENDOMETRIUM	Endometrium carcinoma
JHUEM2_ENDOMETRIUM	Endometrium carcinoma
JHUEM3_ENDOMETRIUM	Endometrium carcinoma
JHUEM7_ENDOMETRIUM	Endometrium carcinoma
JIMT1_BREAST	Breast carcinoma
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JL1_PLEURA	Pleura mesothelioma
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JMSU1_URINARY_TRACT	Urinary_tract carcinoma
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
K029AX_SKIN	Skin malignant_melanoma
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KALS1_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KATOIII_STOMACH	Stomach carcinoma
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KD_SOFT_TISSUE	NA NA
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KE39_STOMACH	Stomach carcinoma
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KELLY_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
KG1C_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KLE_ENDOMETRIUM	Endometrium carcinoma
KM12_LARGE_INTESTINE	Large_intestine carcinoma
KMBC2_URINARY_TRACT	Urinary_tract carcinoma
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMRC1_KIDNEY	Kidney carcinoma
KMRC20_KIDNEY	Kidney carcinoma
KMRC2_KIDNEY	Kidney carcinoma
KMRC3_KIDNEY	Kidney carcinoma
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KNS42_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
KNS60_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
KNS62_LUNG	Lung carcinoma
KNS81_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KP2_PANCREAS	Pancreas carcinoma
KP3_PANCREAS	Pancreas carcinoma
KP4_PANCREAS	Pancreas carcinoma
KPL1_BREAST	Breast carcinoma
KPMRTRY_SOFT_TISSUE	NA NA
KPNRTBM1_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
KPNSI9S_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
KPNYN_AUTONOMIC_GANGLIA	Autonomic_ganglia neuroblastoma
KS1_CENTRAL_NERVOUS_SYSTEM	Central_nervous_system glioma
KU1919_URINARY_TRACT	Urinary_tract carcinoma
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KURAMOCHI_OVARY	Ovary carcinoma
KYM1_SOFT_TISSUE	Soft_tissue
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
KYSE140_OESOPHAGUS	Oesophagus carcinoma
KYSE150_OESOPHAGUS	Oesophagus carcinoma
KYSE180_OESOPHAGUS	Oesophagus carcinoma
KYSE270_OESOPHAGUS	Oesophagus carcinoma
KYSE30_OESOPHAGUS	Oesophagus carcinoma
KYSE410_OESOPHAGUS	Oesophagus carcinoma
KYSE450_OESOPHAGUS	Oesophagus carcinoma
KYSE510_OESOPHAGUS	Oesophagus carcinoma
KYSE520_OESOPHAGUS	Oesophagus carcinoma
KYSE70_OESOPHAGUS	Oesophagus carcinoma
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
L33_PANCREAS	Pancreas carcinoma
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Haematopoietic_and_lymphoid_tissue
